ID;telephone;"phone
-RAI";website;Spalte1;Spalte2;Consultant comments;email_1;"service
sector";company_name;"service
NACEcode";city;"service
details";number_of_empl;annual_turnover;contact_pers_name;contact_pers_title;gender_manager;address;"consultant
contract
country";init.;country;;;;;
DE003066K;49 99910;;http://www.iac-gmbh.de;;;;info@iac-gmbh.de;DST;Industrial Acoustics Company GmbH;46;Niederkrüchten;;20-49;;Volker Hörchens;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;Calculations;
DE004331K;49 9990;;http://www.bst-international.com;;;;info@bst-international.com;PST;BST eltromat International GmbH;71;Bielefeld;;100-249;;Kristian Jünke;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
DE004372K;49 998380;;http://www.progea.de;wrong number;;;info@progea.de;ICT;Progea Deutschland GmbH;;Villingen-Schwenningen;;0-9;;Paolo Fiorani;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;Total:;9140
DE004697K;49 99819719;;http://www.freudenberg-it.de;;;;info@freudenberg-it.de;ICT;Freudenberg IT Solution Consulting SE & Co. KG Standort München;;Hallbergmoos;;500-999;;Horst Reichardt;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;leer:;#BEZUG!
DE002054K;49 997559;;http://www.gerlog.com;;;;info@gerlog.com;DST;Sabine Gerhardt Logistic Management;46;Strasslach-Dingharting;;0-9;;Sabine Gerhardt;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;eMail:;#BEZUG!
DE002538K;49 99750;;http://www.logopak.com;;;;info@logopak.de<U+2028>;DST;Logopak Systeme GmbH & Co. KG<U+2028>;46;Hartenholm;;10-19;;Dietrich Barsch;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
DE004045K;49 99600;;http://www.plasmatreat.de;;;;mail@plasmatreat.de;DST;Plasmatreat GmbH;47;Steinhagen;;50-99;;Christian Buske;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
DE003259K;49 99390;;http://www.gtt-ltd.de;;;;info@gtt-ltd.de;DST;G T T - German Textile Technologies Ltd.;46;Konken;;10-19;;Thomas Müller;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
DE004212K;49 99387570;;http://www.ais-sensors.de;;;;info@ais-sensors.de;PST;AIS GmbH Advanced International Sensors;;Ingolstadt;;0-9;;Renate Kaysersberg;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
DE004224K;49 99250;;http://www.agiplan.de;;;;info@agiplan.de;PST;agiplan GmbH;70;Mülheim an der Ruhr;;50-99;;Christian Jacobi;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
DE001735K;49 9920;;http://www.wayand.de;wrong number;;;mail@wayand.de;DST;Wayand GmbH;;Idar-Oberstein;;250-499;;Hans-Jürgen Wayand;CEO - Chief Executive Officer;;;DE_C3;RW;DE;;;;;
