ID;telephone;phoneRAI;website;Response;Comments;email_1;sector;company
DE044487W;+49 2378 869103;;www.elektronetz.com/elektro-b-und-c-distribution-ekfm-in-iserlohn-8006;;;bcdistribution@t-online.de;DST;B & C DISTRIBUTION E.KFM.
DE045085W;+49 351 40423300;;www.bcscad.de;;;bcs@bcscad.de;ICT;BCS CAD + INFORMATION TECHNOLOGIES GMBH
DE075266W;+49 6138 97200;;www.bcs-stones.de;;;bcs@bcs-stones.de;DST;ZIMMERMANN BCS STONES GMBH
DE003882K;49 7580;;http://www.born-ermel.de;;;be@born-ermel.de;PST;Dr. Born - Dr. Ermel GmbH
DE044627W;+49 2973 1552;;www.babilon.de;;;beatrix@babilon.de;DST;BABILON GMBH
DE045135W;+49 30 2141722;;;;;bebema@t-online.de;DST;BEBEMA GMBH
DE045137W;+49 7431 949676;;;;;bechergmbh@t-online.de;DST;BECHER GMBH TEXTILBERATUNG &-VERTRIEB
DE044544W;+49 173 8016151;;;;;beeprimeberlin@gmail.com;DST;B-EE PRIME GMBH
DE045178W;+49 7034 23780;;www.beer-audio.de;;;beer.gmbh@t-online.de;DST;BEER GMBH
DE045232W;+49 30 49959893;;www.beladom.eu;;;beladom.berlin@gmx.net;CON;BELADOM GMBH
DE041019W;+49 8268 9089576;;;;;bencobau@web.de;CON;BENCO BAU GMBH
DE049990F;+49 7044 901880;;;;;beratung@ziegler-metall.de;DST;E. ZIEGLER METALLBEARBEITUNG GMBH
DE068118W;+49 341 3085090;;www.ruselektrostahl.eu;;;beresan@ruselektrostahl.eu;DST;RUSELEKTROSTAHL GMBH
DE044065W;+49 5924 783704;;www.robert-berkemeyer.de;;;berkemeyer-robert@t-online.de;DST;AUTOHANDEL ROBERT BERKEMEIJER GMBH
DE045369W;+49 6347 607993;;;;;berkilblumen@yahoo.de;DST;BERKIL GMBH & CO. KG
DE042008F;+49 30 887268020;;;;;berlin@agencyv.com;DST;AGENTUR V GESELLSCHAFT FUER HANDEL UND KOMMUNIKATION MBH
DE043248F;+49 30 240888208;;;;;berlin@applift.com;ICT;APPLIFT GMBH
DE044853F;+49 30 20055000;;;;;berlin@basf.com;ICT;BASF SERVICES EUROPE GMBH
DE002196K;49 3640680;;http://www.bechtle.com;;;berlin@bechtle.com;ICT;Bechtle GmbH
DE002986K;49 768887100;;http://www.Lankwitzer-Lackfabrik.de;;;berlin@lankwitzer.com;DST;Lankwitzer Lackfabrik GmbH
DE044606W;+49 30 3499310;;;;;berlin@ohc-berlin.com;ICT;B.TEC GMBH DENTAL-DEPOT
DE068851F;+49 30 7001860;;;;;berlin@s-f.com;PST;SCHOLZ & FRIENDS GROUP GMBH
DE045392W;+49 4191 958131;;;;;bernd.lange.impex@t-online.de;DST;BERND LANGE IM + EXPORT
DE064270F;+49 89 206075000;;;;;bernhard.fuckert@nokia.com;ICT;NOKIA SOLUTIONS AND NETWORKS GMBH & CO. KG
DE066081W;+49 211 504000;;www.plus-m.de;;;bert@plus-m.de;DST;PLUS M OBJEKT UND ORGANISATIONS GMBH
DE045443W;+49 30 55157633;;www.besg.de;;;besg-berlin@t-online.de;DST;BESG BERLINER EINRICHTUNGS- UND SERVICE UG (HAFTUNGSBESCHRAENKT)
DE045447W;+49 30 76679862;;www.besp-trans.de;;;besp-trading@t-online.de;DST;BESP HANDELS OHG
DE044540W;+49 9441 2099680;;www.bs-bioenergie.de;;;bestellung@bs-bioenergie.de;DST;B+S BIOENERGIE VERTRIEBS GMBH
DE048305W;+49 211 52291580;;www.dorc.de;;;bestellung@dorc.de;DST;D.O.R.C. DEUTSCHLAND GMBH
DE069335W;+49 40 2513174;;;;;bhmaoch2001@yahoo.com.cn;DST;SHANGHAI INTERNATIONAL TRADING CORPORATION GMBH (HAMBURG)
DE045567W;+49 3329 618293;;;;;bicmeat4sale@gmail.com;DST;BIC MEAT 4 SALE GMBH
DE045093W;+49 6105 9769347348;;www.bell-logistik.com;;;bilal@bell-logistik.com;DST;BDL GMBH & CO. KG
DE071243W;+49 8231 916771;;www.t-b-l.de;;;bilimport@t-b-l.de;DST;TBL BILIMPORT E.K.
DE045665W;+49 761 15654768;;www.bio-agrar-gmbh.de;;;bio-agrar-gmbh@web.de;DST;BIO-AGRAR INTERNATIONAL GMBH
DE045711W;+49 6151 503688;;www.biotagroup.com;;;biotagmbh@aol.com;DST;BIOTA GMBH
DE050885W;+49 1573 6610015;;www.erpa.de;;;birolakin@live.de;ICT;ER-PA GMBH
DE044892W;;;www.baumont-gmbh.de;;;bisevac@baumont-gmbh.de;CON;BAU-MONT GMBH
DE056876W;+49 30 30814820;;www.ihw.com.pl;;;biuro@ihw.com.pl;DST;IHW SYSTEMTECHNIK E.K.
DE045799W;+49 30 70170300;;www.bstdb.org;;;blackseagmbh@web.de;DST;BLACK SEA TRADE GMBH
DE004415K;49 89132;;http://www.berlinerluft.de;;;blts@berlinerluft.de;PST;BerlinerLuft. Technik GmbH RegionalCenter Süd
DE004416K;49 17088;;http://www.berlinerluft.de;;;bltu@berlinerluft.de;PST;BerlinerLuft. Technik GmbH RegionalCenter Nord
DE003128K;49 9649590;;http://www.berlinerluft.de;;;bltw@berlinerluft.de;PST;BerlinerLuft. Technik GmbH Regionalcenter West Lüftungskomponenten
DE050897W;+49 7254 1514;;www.florist.fleurop.de/erbe.waghaeusel;;;blumenerbe@web.de;DST;ERBE GMBH
DE045944W;+49 30 54591867;;;;;bmlbau@web.de;CON;BML BAU GMBH
DE062141W;+49 234 903810;;www.mediamarkt.de;;;bochum-hofstede@mediamarkt.de;DST;MEDIA MARKT TV-HIFI-ELEKTRO GMBH BOCHUM
DE045816W;+49 221 398079420;;www.blanquier.de;;;bock@blanquier.de;DST;BLANQUIER GMBH
DE074666F;+49 711 72256215;;http://wtpartnership.eu/;w23;Done: eMail to Herr Boehm on 26-03-2020;boehm@wtpartnership.com;PST;WT PARTNERSHIP GERMANY GMBH
DE071667F;+49 511 3040215;;;;;bogdan.jendryssek@wormland.de;DST;THEO WORMLAND GMBH & CO. KG
DE053286W;+49 40 84079000;;www.borhani.eu;;;borhane@aol.com;DST;GEBRUEDER BORHANI GMBH
DE045011W;+49 2041 7798890;----->N:-----;www.boschcarservice.com/de/de/werkstatt/baytemuer-bottrop;;200402 2229 ;bosch@baytemuer.de;DST;BAYTEMUER CAR SERVICE GMBH
