ID;telephone;phoneRAI;website;Response;Comments;email_1;sector;company 200403 15:02
DE053515W;+49 6631 9110557;------>N:--------;www.ger-technology.de;;;fateev@gmx.de;DST;GERMAN TECHNOLOGY MICHAEL FATEEV E. K.
DE002475K;49 25670;;http://www.produktionsanlagen.de;;;faude@faude.de;PST;FAUDE Produktionsanlagen GmbH
DE051918W;+49 69 5480950;;www.fbc.de;;;fbc@fbc.de;PST;FBC BUSINESS CONSULTING GMBH
DE051940W;+49 176 70117497;;www.home.mobile.de;;;fd-gmbh@gmx.de;DST;FD GMBH
DE051937E;+49 8331 9539 0;;;;;fdinfo@fleischerdienst.de;DST;FD - FLEISCHERDIENST ALLGAEU/SCHWABEN EG
DE056000W;+49 30 959981130;;www.bike-mailorder.de;;;feedback@bike-mailorder.de;DST;HOCO ONLINE GMBH
DE003573K;49 5456222;;http://www.felbers.de;;;Felbers-Grosshandel@t-online.de;DST;Felber's Großhandel
DE052003W;+49 8122 9548721;;;;;felsner_gendig@yahoo.de;CON;FELSNER UND GENDIG, RAUM UND WOHNEN GMBH
DE065955W;+49 30 62609706;;www.fenster-preiswert.eu/48;;;fenster@pietrewicz-bau.de;CON;PIETREWICZ-BAU UG (HAFTUNGSBESCHRAENKT)
DE001747K;49 360090;;http://www.fezer.com;;;Fezer@Fezer.de;PST;Albert Fezer Maschinenfabrik GmbH
DE059150W;+49 40 18165100;;;;;fh04279@gmail.com;DST;KEVIN INTERNATIONAL GMBH
DE047118W;+49 89 3580676;;www.cembre.de;;;fibu@cembre.de;DST;CEMBRE GMBH
DE047814F;+49 9622 30 0;;;;;filiale.regensburg@conrad.de;DST;CONRAD ELECTRONIC REGENSBURG GMBH & CO. KG
DE068768W;+49 40 328110 50;;www.schlueter-maack.de;;;finance@schlueter-maack.de;DST;SCHLUETER & MAACK GMBH
DE055687F;+49 2736 27112;;;;;finanzen-service@hering-bau.de;CON;HERING GMBH & CO. KG VERWALTUNGSGESELLSCHAFT
DE003273K;49 9366810;;http://www.finetech.de;;;finetech@finetech.de;DST;Finetech GmbH & Co. KG
DE047383F;+49 711 305020;;;;;fischer@kaeltefischer.de;DST;CHRISTOF FISCHER GMBH
DE052261W;+49 2552 702624 0;;www.farm-innovation-team.de;;;fit@farm-innovation-team.de;DST;FIT FARM INNOVATION TEAM GMBH
DE046488F;+49 421 45860;;;;;fittings.hb@buhlmann.de;DST;BUHLMANN ROHR-FITTINGS-STAHLHANDEL GMBH + CO. KG.
DE052336W;+49 800 2122114 2300;;www.fliesenoutlet-hannover.pblo.de;;;fliesenoutlet-hannover@online.de;DST;FLIESEN OUTLET HANNOVER  GMBH & CO. KG
DE052317W;+49 2590 9139131;;;;;flingris@aol.com;DST;FLEUR INGRIS BLUMEN- IMPORT EXPORT GMBH
DE064671W;+49 281 50830;;www.oelsner-gmbh.de;;;flintrop@oelsner-gmbh.de;DST;OELSNER MASCHINEN UND ANLAGEN GMBH
DE071254W;+49 30 49902502;;;;;floracarpet@floracarpet.com;DST;TCC TURKISH CARPET CENTER GMBH
DE003909K;49 50890;;http://www.hobbhahn.de;;;Florian.Hobbhahn@hobbhahn.de;PST;Werner Hobbhahn Gesellschaft für Personal-Marketing mbH
DE052347W;+49 651 827880;;www.flosser.com;;;flosser@flosser.com;DST;FLOESSER GMBH & CO. KG
DE044643W;+49 3578 3749581;;www.bach-messtechnik.de;;;fmlvq@bach-messtechnik.de;DST;BACH-MESSTECHNIK GMBH
DE052410W;+49 431 363656;;;;;foerdehandel@arcor.de;DST;FOERDEHANDEL, FOERDETEX & LIFE VERANSTALTUNGSZENTRUM GMBH
DE057598E;+49 421 65727 390;;;;;food.germany@intertek.com;PST;INTERTEK FOOD SERVICES GMBH
DE057501W;+49 5732 730583;;www.interform.de;;;forgacs@inter-fero.de;DST;INTERFORM GMBH
DE003195K;49 7060111;;http://www.xella.de;;;forschung@xella.com;PST;Xella Technologie- und Forschungsgesellschaft mbH
DE052654F;+49 30 22641200;;;;;fp-gmbh-berlin@etl.de;PST;FREUND & PARTNER GMBH STEUERBERATUNGSGESELLSCHAFT
DE068493E;+49 8654 475 0;;;;;fr@sanitaer-heinze.com;DST;SANITAER-HEINZE GMBH & CO. KG
DE003804K;49 941430;;http://www.bechtle.com;;;frankfurt@bechtle.com;ICT;Bechtle GmbH IT-Systemhaus Frankfurt
DE045298F;+49 69 710404 0;;;;;frankfurt@bene.com;DST;BENE GMBH
DE004543K;49 680250;;http://www.ifigmbh.com;;;frankfurt@ifigmbh.com;PST;Ifi Ingenieurbüro für Industrieanlagen GmbH
DE041851W;+49 211 719072;;;;;frantzen.brandt@t-online.de;DST;ADOLF FRANTZEN & BRANDT
DE060658W;+49 6894 6717;;;;;franz@linea-classica.igb.uunet.de;DST;LINEA CLASSICA AUTOMOBILE GMBH
DE053925W;+49 69 68602580;;www.globexfood.de;;;fredhaferkamp@globexfood.de;DST;GLOBEX FOOD E.K.
DE044205W;+49 3731 459544;;www.automobil-outlet.de;;;freiberg@automobil-outlet.de;DST;AUTOMOBIL-OUTLET SACHSEN KUBE & JOSEPHI GMBH & CO. KG
DE052610W;+49 8731 327593;;www.freiberger-photovoltaik.com;;;freiberger.elektro@t-online.de;CON;FREIBERGER ENERGIE- UND GEBAEUDETECHNIK GMBH
DE052617W;+49 4754 8350;;www.freimuth-abbruch.de;;;freimuth-buelkau@t-online.de;DST;FREIMUTH BAUMASCHINENHANDEL GMBH, IMPORT - EXPORT, REPARATURWERKSTATT
DE052778W;+49 2154 8842931;;;;;friedhelm.kraks@fruvital.de;DST;FRUTA NOVESIA FRUCHTHANDELSGESELLSCHAFT MBH
DE001195K;49 13995280;;http://www.smithandmiller.de;;;frontdesk@smithandmiller.de;PST;Smith&Miller GmbH
DE052767W;+49 69 50984717;;www.fruechtestern.de;;;fruchtestern@hotmail.com;DST;FRUECHTE STERN FRANKFURT GMBH & CO. KG.
DE052801F;+49 2161 495249 0;;;;;fsp@fsp-ps.de;DST;FSP POWER SOLUTION GMBH
DE051911W;+49 8191 947253;;www.faymonville.com;;;fts@faymonville.com;DST;FAYMONVILLE - TRADE AND SERVICES GMBH
DE052814W;+49 8051 965578 0;;www.ftsag.com;;;fts@ftsag.com;DST;FTS FLUID-TECHNIK U.  SYSTEME AG
DE001232K;49 30936510;;http://www.fugro.com;;;fugro@fugro.com;PST;FUGRO CONSULT GMBH
DE073721E;+49 4921 9670;;;;;funa.de@wartsia.com;PST;WAERTSILAE FUNA INTERNATIONAL GMBH
DE052884W;+49 2631 3440 0;;www.funtime-parts.de;;;funtime@funtime-parts.de;DST;FUNTIME GMBH
DE001519K;49 3063926155;;http://www.tsi-telematic.de;;;g.baumgarten@tsi-telematic.com;PST;TSI Telematic Services GmbH
DE062635W;+49 40 75277 270;;www.mhg-deutschland.de;;;g.brinkmann@mhg-deutschland.de;DST;MHG MODE + MARKEN HANDELS GMBH
